,Technology,Capitalcost
458,TRLV_38_0,2122.979268
24,TRLV_39_0,2720.763306
25,TRLV_39_1,681.3158265
436,TRLV_4_0,2732.731074
459,TRLV_40_0,638.1702521
460,TRLV_41_0,1158.315064
26,TRLV_42_0,1770.262677
27,TRLV_42_1,443.6906692
28,TRLV_43_0,1702.529776
29,TRLV_43_1,426.7574439
30,TRLV_44_0,1070.499289
31,TRLV_44_1,268.7498223
461,TRLV_45_0,190.6483031
462,TRLV_46_0,701.2195606
463,TRLV_47_0,2561.406406
32,TRLV_48_0,5635.425921
33,TRLV_48_1,1409.98148
34,TRLV_49_0,3552.017263
35,TRLV_49_1,889.1293156
2,TRLV_5_0,2346.608962
3,TRLV_5_1,587.7772404
464,TRLV_50_0,3168.868783
36,TRLV_51_0,2183.348223
37,TRLV_51_1,546.9620558
38,TRLV_52_0,1719.063351
39,TRLV_52_1,430.8908378
465,TRLV_53_0,2494.826106
466,TRLV_54_0,6516.778223
467,TRLV_55_0,3878.939682
468,TRLV_56_0,3014.890581
469,TRLV_57_0,1941.791177
40,TRLV_58_0,3917.849498
41,TRLV_58_1,980.5873745
470,TRLV_59_0,2852.314781
4,TRLV_6_0,770.2841404
5,TRLV_6_1,193.6960351
42,TRLV_60_0,2700.369596
43,TRLV_60_1,676.2173991
471,TRLV_61_0,1013.485122
472,TRLV_62_0,1109.682125
473,TRLV_63_0,861.7402997
474,TRLV_64_0,2163.706092
475,TRLV_65_0,688.1501696
476,TRLV_66_0,1006.427704
477,TRLV_67_0,303.2612892
478,TRLV_68_0,2426.068065
479,TRLV_69_0,2678.879876
480,TRLV_70_0,1779.78763
481,TRLV_71_0,1086.691435
44,TRLV_72_0,2824.966998
45,TRLV_72_1,707.3667496
46,TRLV_73_0,2505.098017
47,TRLV_73_1,627.3995042
48,TRLV_74_0,5446.815737
49,TRLV_74_1,1362.828934
482,TRLV_75_0,3366.403448
483,TRLV_76_0,4066.208787
484,TRLV_77_0,2567.27677
485,TRLV_78_0,2128.281373
486,TRLV_79_0,934.488078
6,TRLV_8_0,2728.418946
7,TRLV_8_1,683.2297365
487,TRLV_80_0,2049.019596
488,TRLV_81_0,913.2909356
489,TRLV_82_0,976.3266838
490,TRLV_83_0,1052.605225
491,TRLV_84_0,459.5614187
492,TRLV_85_0,616.8337024
493,TRLV_86_0,2200.175398
50,TRLV_87_0,1824.030269
51,TRLV_87_1,457.1325673
52,TRLV_88_0,1532.238848
53,TRLV_88_1,384.1847121
494,TRLV_89_0,1752.615147
437,TRLV_9_0,1520.399446
495,TRLV_90_0,1438.486805
54,TRLV_91_0,5033.625599
55,TRLV_91_1,1259.5314
56,TRLV_92_0,3846.478209
57,TRLV_92_1,962.7445522
58,TRLV_93_0,3844.692902
59,TRLV_93_1,962.2982255
60,TRLV_94_0,2359.507218
61,TRLV_94_1,591.0018046
496,TRLV_95_0,1994.68657
497,TRLV_96_0,1543.177437
62,TRLV_97_0,1814.042215
63,TRLV_97_1,454.6355538
498,TRLV_98_0,152.8312224
499,TRLV_99_0,497.5176143
