Fuel,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,elec
EL3_58_1,36.04456927,38.64423906,41.17730349,43.51465415,46.12895827,48.8909709,52.59831799,56.07302418,59.82468383,65.01280874,69.9239802,74.63943788,80.80982438,86.32290802,92.17202851,98.33516611,104.893424,111.8689584,119.3023892,127.2380289,135.2032103,143.8404655,149.8470584,157.2338028,164.6205471,1
EL3_59_0,0,0,0.114796965,0.22959393,0.344390895,0.45918786,0.573984825,0.688781789,0.803578754,0.918375719,1.033172684,1.147969649,1.262766614,1.377563579,1.492360544,1.492360544,1.492360544,1.492360544,1.492360544,1.492360544,1.492360544,1.492360544,1.492360544,1.492360544,1.492360544,0
EL3_59_1,0.525957745,0.563891794,0.600853947,0.634960268,0.67310786,0.713410795,0.76750793,0.818210398,0.872954136,0.948658591,1.020321777,1.089129132,1.179166623,1.259612834,1.344962453,1.434894168,1.530591428,1.632377534,1.740845206,1.856641046,1.972867955,2.098901677,2.186549113,2.294335542,2.402121971,1
EL3_60_0,0,0,0.136565566,0.273131132,0.409696698,0.546262264,0.68282783,0.819393396,0.955958962,1.092524528,1.229090094,1.36565566,1.502221226,1.638786792,1.775352358,1.775352358,1.775352358,1.775352358,1.775352358,1.775352358,1.775352358,1.775352358,1.775352358,1.775352358,1.775352358,0
EL3_61_0,0,0,0.009241693,0.018483387,0.02772508,0.036966774,0.046208467,0.05545016,0.064691854,0.073933547,0.083175241,0.092416934,0.101658627,0.110900321,0.120142014,0.120142014,0.120142014,0.120142014,0.120142014,0.120142014,0.120142014,0.120142014,0.120142014,0.120142014,0.120142014,0
EL3_62_0,0,0,0.023607746,0.047215492,0.070823239,0.094430985,0.118038731,0.141646477,0.165254224,0.18886197,0.212469716,0.236077462,0.259685208,0.283292955,0.306900701,0.306900701,0.306900701,0.306900701,0.306900701,0.306900701,0.306900701,0.306900701,0.306900701,0.306900701,0.306900701,0
EL3_63_0,0,0,0.024868937,0.049737875,0.074606812,0.09947575,0.124344687,0.149213625,0.174082562,0.198951499,0.223820437,0.248689374,0.273558312,0.298427249,0.323296187,0.323296187,0.323296187,0.323296187,0.323296187,0.323296187,0.323296187,0.323296187,0.323296187,0.323296187,0.323296187,0
EL3_64_0,0,0,0.027605087,0.055210174,0.082815261,0.110420348,0.138025435,0.165630522,0.193235609,0.220840696,0.248445782,0.276050869,0.303655956,0.331261043,0.35886613,0.35886613,0.35886613,0.35886613,0.35886613,0.35886613,0.35886613,0.35886613,0.35886613,0.35886613,0.35886613,0
EL3_65_0,0,0,0.006326058,0.012652116,0.018978174,0.025304231,0.031630289,0.037956347,0.044282405,0.050608463,0.056934521,0.063260579,0.069586637,0.075912694,0.082238752,0.082238752,0.082238752,0.082238752,0.082238752,0.082238752,0.082238752,0.082238752,0.082238752,0.082238752,0.082238752,0
EL3_66_0,0,0,0.01469261,0.029385221,0.044077831,0.058770441,0.073463052,0.088155662,0.102848272,0.117540883,0.132233493,0.146926103,0.161618714,0.176311324,0.191003934,0.191003934,0.191003934,0.191003934,0.191003934,0.191003934,0.191003934,0.191003934,0.191003934,0.191003934,0.191003934,0
EL3_67_0,0,0,0.003973454,0.007946908,0.011920362,0.015893815,0.019867269,0.023840723,0.027814177,0.031787631,0.035761085,0.039734538,0.043707992,0.047681446,0.0516549,0.0516549,0.0516549,0.0516549,0.0516549,0.0516549,0.0516549,0.0516549,0.0516549,0.0516549,0.0516549,0
EL3_68_0,0,0,0.025795345,0.051590691,0.077386036,0.103181381,0.128976727,0.154772072,0.180567417,0.206362763,0.232158108,0.257953453,0.283748799,0.309544144,0.335339489,0.335339489,0.335339489,0.335339489,0.335339489,0.335339489,0.335339489,0.335339489,0.335339489,0.335339489,0.335339489,0
