,Column,Fuel,Technology,Outputactivity,ModeofOperation
275,0,EL3_91_1,TRLV_91_1,0.865,1
276,0,EL3_91_1,BACKSTOP,0.865,1
277,0,EL3_91_0,TRLV_91_0,0.865,1
278,0,EL3_91_0,BACKSTOP,0.865,1
279,0,EL3_91_1,KEEL00d_91,0.865,1
280,0,EL3_91_1,SOPV12h_91_1,1.0,1
281,0,EL3_91_0,SOPV12h_91_0,1.0,1
282,0,EL3_91_1,SOPV8h_91_1,1.0,1
283,0,EL3_91_0,SOPV8h_91_0,1.0,1
284,0,EL3_91_1,SOPV_91_1,1.0,1
285,0,EL3_91_0,SOPV_91_0,1.0,1
286,0,EL3_92_1,TRLV_92_1,0.865,1
287,0,EL3_92_1,BACKSTOP,0.865,1
288,0,EL3_92_0,TRLV_92_0,0.865,1
289,0,EL3_92_0,BACKSTOP,0.865,1
290,0,EL3_92_1,KEEL00d_92,0.865,1
291,0,EL3_92_1,SOPV12h_92_1,1.0,1
292,0,EL3_92_0,SOPV12h_92_0,1.0,1
293,0,EL3_92_1,SOPV8h_92_1,1.0,1
294,0,EL3_92_0,SOPV8h_92_0,1.0,1
295,0,EL3_92_1,SOPV_92_1,1.0,1
296,0,EL3_92_0,SOPV_92_0,1.0,1
297,0,EL3_100_1,TRLV_100_1,0.865,1
298,0,EL3_100_1,BACKSTOP,0.865,1
299,0,EL3_100_0,TRLV_100_0,0.865,1
300,0,EL3_100_0,BACKSTOP,0.865,1
301,0,EL3_100_1,KEEL00d_100,0.865,1
302,0,EL3_100_1,SOPV12h_100_1,1.0,1
303,0,EL3_100_0,SOPV12h_100_0,1.0,1
304,0,EL3_100_1,SOPV8h_100_1,1.0,1
305,0,EL3_100_0,SOPV8h_100_0,1.0,1
306,0,EL3_100_1,SOPV_100_1,1.0,1
307,0,EL3_100_0,SOPV_100_0,1.0,1
308,0,EL3_104_1,TRLV_104_1,0.865,1
309,0,EL3_104_1,BACKSTOP,0.865,1
310,0,EL3_104_0,TRLV_104_0,0.865,1
311,0,EL3_104_0,BACKSTOP,0.865,1
312,0,EL3_104_1,KEEL00d_104,0.865,1
313,0,EL3_104_1,SOPV12h_104_1,1.0,1
314,0,EL3_104_0,SOPV12h_104_0,1.0,1
315,0,EL3_104_1,SOPV8h_104_1,1.0,1
316,0,EL3_104_0,SOPV8h_104_0,1.0,1
317,0,EL3_104_1,SOPV_104_1,1.0,1
318,0,EL3_104_0,SOPV_104_0,1.0,1
319,0,EL3_105_1,TRLV_105_1,0.865,1
320,0,EL3_105_1,BACKSTOP,0.865,1
321,0,EL3_105_0,TRLV_105_0,0.865,1
322,0,EL3_105_0,BACKSTOP,0.865,1
323,0,EL3_105_1,KEEL00d_105,0.865,1
324,0,EL3_105_1,SOPV12h_105_1,1.0,1
325,0,EL3_105_0,SOPV12h_105_0,1.0,1
326,0,EL3_105_1,SOPV8h_105_1,1.0,1
327,0,EL3_105_0,SOPV8h_105_0,1.0,1
328,0,EL3_105_1,SOPV_105_1,1.0,1
329,0,EL3_105_0,SOPV_105_0,1.0,1
330,0,EL3_106_1,TRLV_106_1,0.865,1
331,0,EL3_106_1,BACKSTOP,0.865,1
332,0,EL3_106_0,TRLV_106_0,0.865,1
333,0,EL3_106_0,BACKSTOP,0.865,1
334,0,EL3_106_1,KEEL00d_106,0.865,1
335,0,EL3_106_1,SOPV12h_106_1,1.0,1
336,0,EL3_106_0,SOPV12h_106_0,1.0,1
337,0,EL3_106_1,SOPV8h_106_1,1.0,1
338,0,EL3_106_0,SOPV8h_106_0,1.0,1
339,0,EL3_106_1,SOPV_106_1,1.0,1
340,0,EL3_106_0,SOPV_106_0,1.0,1
341,0,EL3_109_1,TRLV_109_1,0.865,1
342,0,EL3_109_1,BACKSTOP,0.865,1
343,0,EL3_109_0,TRLV_109_0,0.865,1
344,0,EL3_109_0,BACKSTOP,0.865,1
345,0,EL3_109_1,KEEL00d_109,0.865,1
346,0,EL3_109_1,SOPV12h_109_1,1.0,1
347,0,EL3_109_0,SOPV12h_109_0,1.0,1
348,0,EL3_109_1,SOPV8h_109_1,1.0,1
349,0,EL3_109_0,SOPV8h_109_0,1.0,1
350,0,EL3_109_1,SOPV_109_1,1.0,1
351,0,EL3_109_0,SOPV_109_0,1.0,1
352,0,EL3_110_1,TRLV_110_1,0.865,1
353,0,EL3_110_1,BACKSTOP,0.865,1
354,0,EL3_110_0,TRLV_110_0,0.865,1
355,0,EL3_110_0,BACKSTOP,0.865,1
356,0,EL3_110_1,KEEL00d_110,0.865,1
357,0,EL3_110_1,SOPV12h_110_1,1.0,1
358,0,EL3_110_0,SOPV12h_110_0,1.0,1
359,0,EL3_110_1,SOPV8h_110_1,1.0,1
360,0,EL3_110_0,SOPV8h_110_0,1.0,1
361,0,EL3_110_1,SOPV_110_1,1.0,1
362,0,EL3_110_0,SOPV_110_0,1.0,1
363,0,EL3_112_1,TRLV_112_1,0.865,1
364,0,EL3_112_1,BACKSTOP,0.865,1
365,0,EL3_112_0,TRLV_112_0,0.865,1
366,0,EL3_112_0,BACKSTOP,0.865,1
367,0,EL3_112_1,KEEL00d_112,0.865,1
368,0,EL3_112_1,SOPV12h_112_1,1.0,1
369,0,EL3_112_0,SOPV12h_112_0,1.0,1
370,0,EL3_112_1,SOPV8h_112_1,1.0,1
371,0,EL3_112_0,SOPV8h_112_0,1.0,1
372,0,EL3_112_1,SOPV_112_1,1.0,1
373,0,EL3_112_0,SOPV_112_0,1.0,1
374,0,EL3_114_1,TRLV_114_1,0.865,1
