,Column,Fuel,Technology,Inputactivity,ModeofOperation
1147,0,EL2_226,TRLV_226_1,1,1
1148,0,EL2_226,TRLV_226_0,1,1
1149,0,KEEL2,KEEL00d_226,1,1
1150,0,SOLAR_226,SOPV_226_1,1,1
1151,0,SOLAR_226,SOPV_226_0,1,1
1152,0,SOLAR_226,SOPV8h_226_1,1,1
1153,0,SOLAR_226,SOPV8h_226_0,1,1
1154,0,SOLAR_226,SOPV12h_226_1,1,1
1166,0,SOLAR_227,SOPV12h_227_0,1,1
1156,0,KEEL2_226,TRLV_226_1,1,1
1157,0,KEEL2_226,TRLV_226_0,1,1
1158,0,EL2_227,TRLV_227_1,1,1
1159,0,EL2_227,TRLV_227_0,1,1
1160,0,KEEL2,KEEL00d_227,1,1
1161,0,SOLAR_227,SOPV_227_1,1,1
1162,0,SOLAR_227,SOPV_227_0,1,1
1163,0,SOLAR_227,SOPV8h_227_1,1,1
1164,0,SOLAR_227,SOPV8h_227_0,1,1
1165,0,SOLAR_227,SOPV12h_227_1,1,1
1177,0,SOLAR_228,SOPV12h_228_0,1,1
1167,0,KEEL2_227,TRLV_227_1,1,1
1168,0,KEEL2_227,TRLV_227_0,1,1
1169,0,EL2_228,TRLV_228_1,1,1
1170,0,EL2_228,TRLV_228_0,1,1
1171,0,KEEL2,KEEL00d_228,1,1
1172,0,SOLAR_228,SOPV_228_1,1,1
1173,0,SOLAR_228,SOPV_228_0,1,1
1174,0,SOLAR_228,SOPV8h_228_1,1,1
1175,0,SOLAR_228,SOPV8h_228_0,1,1
1176,0,SOLAR_228,SOPV12h_228_1,1,1
1188,0,SOLAR_229,SOPV12h_229_0,1,1
1178,0,KEEL2_228,TRLV_228_1,1,1
1179,0,KEEL2_228,TRLV_228_0,1,1
1180,0,EL2_229,TRLV_229_1,1,1
1181,0,EL2_229,TRLV_229_0,1,1
1182,0,KEEL2,KEEL00d_229,1,1
1183,0,SOLAR_229,SOPV_229_1,1,1
1184,0,SOLAR_229,SOPV_229_0,1,1
1185,0,SOLAR_229,SOPV8h_229_1,1,1
1186,0,SOLAR_229,SOPV8h_229_0,1,1
1187,0,SOLAR_229,SOPV12h_229_1,1,1
1199,0,SOLAR_232,SOPV12h_232_0,1,1
1189,0,KEEL2_229,TRLV_229_1,1,1
1190,0,KEEL2_229,TRLV_229_0,1,1
1191,0,EL2_232,TRLV_232_1,1,1
1192,0,EL2_232,TRLV_232_0,1,1
1193,0,KEEL2,KEEL00d_232,1,1
1194,0,SOLAR_232,SOPV_232_1,1,1
1195,0,SOLAR_232,SOPV_232_0,1,1
1196,0,SOLAR_232,SOPV8h_232_1,1,1
1197,0,SOLAR_232,SOPV8h_232_0,1,1
1198,0,SOLAR_232,SOPV12h_232_1,1,1
1210,0,SOLAR_233,SOPV12h_233_0,1,1
1200,0,KEEL2_232,TRLV_232_1,1,1
1201,0,KEEL2_232,TRLV_232_0,1,1
1202,0,EL2_233,TRLV_233_1,1,1
1203,0,EL2_233,TRLV_233_0,1,1
1204,0,KEEL2,KEEL00d_233,1,1
