,DISTANCE,SendTech,INFUEL,INTECH,OUTFUEL
927,,,EL2_125,TRHV_125_124,EL2_124
928,,,EL2_107,TRHV_107_124,EL2_124
929,,,EL2_142,TRHV_142_125,EL2_125
930,,,EL2_124,TRHV_124_125,EL2_125
931,,,EL2_129,TRHV_129_128,EL2_128
932,,,EL2_111,TRHV_111_128,EL2_128
933,,,EL2_146,TRHV_146_129,EL2_129
934,,,EL2_128,TRHV_128_129,EL2_129
935,,,EL2_130,TRHV_130_129,EL2_129
936,,,EL2_112,TRHV_112_129,EL2_129
937,,,EL2_129,TRHV_129_130,EL2_130
938,,,EL2_113,TRHV_113_130,EL2_130
939,,,EL2_133,TRHV_133_132,EL2_132
940,,,EL2_115,TRHV_115_132,EL2_132
941,,,EL2_150,TRHV_150_133,EL2_133
942,,,EL2_132,TRHV_132_133,EL2_133
943,,,EL2_116,TRHV_116_133,EL2_133
944,,,EL2_152,TRHV_152_135,EL2_135
945,,,EL2_136,TRHV_136_135,EL2_135
946,,,EL2_118,TRHV_118_135,EL2_135
947,,,EL2_135,TRHV_135_136,EL2_136
948,,,EL2_137,TRHV_137_136,EL2_136
949,,,EL2_119,TRHV_119_136,EL2_136
950,,,EL2_154,TRHV_154_137,EL2_137
951,,,EL2_136,TRHV_136_137,EL2_137
952,,,EL2_138,TRHV_138_137,EL2_137
953,,,EL2_120,TRHV_120_137,EL2_137
954,,,EL2_155,TRHV_155_138,EL2_138
955,,,EL2_137,TRHV_137_138,EL2_138
956,,,EL2_139,TRHV_139_138,EL2_138
957,,,EL2_121,TRHV_121_138,EL2_138
958,,,EL2_156,TRHV_156_139,EL2_139
959,,,EL2_138,TRHV_138_139,EL2_139
960,,,EL2_158,TRHV_158_141,EL2_141
961,,,EL2_142,TRHV_142_141,EL2_141
962,,,EL2_124,TRHV_124_141,EL2_141
963,,,EL2_159,TRHV_159_142,EL2_142
964,,,EL2_141,TRHV_141_142,EL2_142
965,,,EL2_125,TRHV_125_142,EL2_142
966,,,EL2_129,TRHV_129_146,EL2_146
967,,,EL2_151,TRHV_151_150,EL2_150
